ID,Dutch_Orig,English_gloss,High_Language_HL,Contemporary_Equiv_HL,Low_Language_LL,Contemporary_Equiv_LL,Remarks_Split,Remarks_Category,Remarks_Orig,pagenum
19,Varken,pig,koijo,koi,abi-abi,—,ME: koi ‘pig’,Rm_Contemporary_Enggano_Translation,"HL: Kähler p. 172 ekoyo ‘domesticated pig’
OE V# > ME Ø
LL: unclear, but vRos has hawi hawi, vdStraten has abie abie for ‘pig’, Kähler p. 213 has e’obo ‘wild boar’, not recognized by Engga / Milson
ME: koi ‘pig’",3
20,Hond,dog,bé-oh,be,,,OE V# > ME Ø,Rm_Sound_Changes,"Kähler p. 27 ebeo ‘dog’, onompatopoeic word? Kähler (1987:27) says that dogs were imported to Enggano from Sumatra
OE V# > ME Ø
ME: be ‘dog’",4
20,Hond,dog,bé-oh,be,,,ME: be ‘dog’,Rm_Contemporary_Enggano_Translation,"Kähler p. 27 ebeo ‘dog’, onompatopoeic word? Kähler (1987:27) says that dogs were imported to Enggano from Sumatra
OE V# > ME Ø
ME: be ‘dog’",4
20,Hond,dog,bé-oh,be,,,"Kähler p. 27 ebeo ‘dog’, onompatopoeic word? Kähler (1987:27) says that dogs were imported to Enggano from Sumatra",Rm_Kahler,"Kähler p. 27 ebeo ‘dog’, onompatopoeic word? Kähler (1987:27) says that dogs were imported to Enggano from Sumatra
OE V# > ME Ø
ME: be ‘dog’",4
21,Rat,rat,i-hoea,—,koe-anie,—,"HL: Kähler p. 86 ehúao ‘mouse, rat’, etymology unclear ",Rm_HL,"HL: Kähler p. 86 ehúao ‘mouse, rat’, etymology unclear 
LL: Kähler p. 156 ekõ’anũ ‘mouse, rat’, etymology unclear Engga says that there are no rats on Enggano and hence there’s no word in ME for this animal, but there seems to be a critically endangered endemic species called Rattus enganus",4
21,Rat,rat,i-hoea,—,koe-anie,—,"LL: Kähler p. 156 ekõ’anũ ‘mouse, rat’, etymology unclear Engga says that there are no rats on Enggano and hence there’s no word in ME for this animal, but there seems to be a critically endangered endemic species called Rattus enganus",Rm_LL,"HL: Kähler p. 86 ehúao ‘mouse, rat’, etymology unclear 
LL: Kähler p. 156 ekõ’anũ ‘mouse, rat’, etymology unclear Engga says that there are no rats on Enggano and hence there’s no word in ME for this animal, but there seems to be a critically endangered endemic species called Rattus enganus",4
22,Vogel,bird,hoe-hoe,—,oemauw,(ke’ep) uma,"HL: possibly onomatopoeic, cf. Kähler p. 289 e’u’uẽu’uhū ‘owl’ ",Rm_HL,"HL: possibly onomatopoeic, cf. Kähler p. 289 e’u’uẽu’uhū ‘owl’ 
LL: Kähler 285 p. e’ũmaõ ‘wild pigeon (IN: burung pergam)’, cf. more sources in Kähler, the subspecies Ducula aenea consobrina is endemic to West Sumatra
OE V# > ME Ø
ME: ke’ep uma ‘Green imperial pigeon’",4
22,Vogel,bird,hoe-hoe,—,oemauw,(ke’ep) uma,"LL: Kähler 285 p. e’ũmaõ ‘wild pigeon (IN: burung pergam)’, cf. more sources in Kähler, the subspecies Ducula aenea consobrina is endemic to West Sumatra",Rm_LL,"HL: possibly onomatopoeic, cf. Kähler p. 289 e’u’uẽu’uhū ‘owl’ 
LL: Kähler 285 p. e’ũmaõ ‘wild pigeon (IN: burung pergam)’, cf. more sources in Kähler, the subspecies Ducula aenea consobrina is endemic to West Sumatra
OE V# > ME Ø
ME: ke’ep uma ‘Green imperial pigeon’",4
22,Vogel,bird,hoe-hoe,—,oemauw,(ke’ep) uma,OE V# > ME Ø,Rm_Sound_Changes,"HL: possibly onomatopoeic, cf. Kähler p. 289 e’u’uẽu’uhū ‘owl’ 
LL: Kähler 285 p. e’ũmaõ ‘wild pigeon (IN: burung pergam)’, cf. more sources in Kähler, the subspecies Ducula aenea consobrina is endemic to West Sumatra
OE V# > ME Ø
ME: ke’ep uma ‘Green imperial pigeon’",4
22,Vogel,bird,hoe-hoe,—,oemauw,(ke’ep) uma,ME: ke’ep uma ‘Green imperial pigeon’,Rm_Contemporary_Enggano_Translation,"HL: possibly onomatopoeic, cf. Kähler p. 289 e’u’uẽu’uhū ‘owl’ 
LL: Kähler 285 p. e’ũmaõ ‘wild pigeon (IN: burung pergam)’, cf. more sources in Kähler, the subspecies Ducula aenea consobrina is endemic to West Sumatra
OE V# > ME Ø
ME: ke’ep uma ‘Green imperial pigeon’",4
23,Slang,snake,nanoah,nanoa,,,ME: nanoa ‘small green snake’,Rm_Contemporary_Enggano_Translation,"common small green snake which lives in the forest, as opposed to the bigger apũ’ ‘python’ (maybe Malayopython reticulatus?) 
ME: nanoa ‘small green snake’",4
23,Slang,snake,nanoah,nanoa,,,"common small green snake which lives in the forest, as opposed to the bigger apũ’ ‘python’ (maybe Malayopython reticulatus?) ",Rm_Others,"common small green snake which lives in the forest, as opposed to the bigger apũ’ ‘python’ (maybe Malayopython reticulatus?) 
ME: nanoa ‘small green snake’",4
24,Haan,rooster,èkoh-èkoh manie,—,koh-koh,—,"HL: literally ‘male fowl’, cf. LL",Rm_HL,"HL: literally ‘male fowl’, cf. LL
LL: pre-Kähler sources show /koko/, not attested after 1916, only eañāmũ (emanĩ) (only listed in index) < Malay ayam, and eki’adobu (Kähler p. 140) of unclear origin
ME: ayam man ‘rooster’",4
24,Haan,rooster,èkoh-èkoh manie,—,koh-koh,—,"LL: pre-Kähler sources show /koko/, not attested after 1916, only eañāmũ (emanĩ) (only listed in index) < Malay ayam, and eki’adobu (Kähler p. 140) of unclear origin",Rm_LL,"HL: literally ‘male fowl’, cf. LL
LL: pre-Kähler sources show /koko/, not attested after 1916, only eañāmũ (emanĩ) (only listed in index) < Malay ayam, and eki’adobu (Kähler p. 140) of unclear origin
ME: ayam man ‘rooster’",4
24,Haan,rooster,èkoh-èkoh manie,—,koh-koh,—,ME: ayam man ‘rooster’,Rm_Contemporary_Enggano_Translation,"HL: literally ‘male fowl’, cf. LL
LL: pre-Kähler sources show /koko/, not attested after 1916, only eañāmũ (emanĩ) (only listed in index) < Malay ayam, and eki’adobu (Kähler p. 140) of unclear origin
ME: ayam man ‘rooster’",4
25,Kip,hen/chicken,èkoh-èkoh-howdah,—,,,ME: ayam hiñr ‘hen’,Rm_Contemporary_Enggano_Translation,"cf. above
ME: ayam hiñr ‘hen’",4
25,Kip,hen/chicken,èkoh-èkoh-howdah,—,,,cf. above,Rm_Others,"cf. above
ME: ayam hiñr ‘hen’",4
26,Mensch,person,fakka,kak,,,OE t > ME k,Rm_Sound_Changes,"perhaps misspelling/misreading of takka?, cf. Kähler p. 116 ekakaẽtaka ‘human being’ < PAN *qaRta (Edwards 2015:97-98, Nothofer 1994:403, Mahdi 1988:58,412, Blust 1972)
OE t > ME k
ME: kak ‘person’",4
26,Mensch,person,fakka,kak,,,ME: kak ‘person’,Rm_Contemporary_Enggano_Translation,"perhaps misspelling/misreading of takka?, cf. Kähler p. 116 ekakaẽtaka ‘human being’ < PAN *qaRta (Edwards 2015:97-98, Nothofer 1994:403, Mahdi 1988:58,412, Blust 1972)
OE t > ME k
ME: kak ‘person’",4
26,Mensch,person,fakka,kak,,,"perhaps misspelling/misreading of takka?, cf. Kähler p. 116 ekakaẽtaka ‘human being’ < PAN *qaRta (Edwards 2015:97-98, Nothofer 1994:403, Mahdi 1988:58,412, Blust 1972)",Rm_Others,"perhaps misspelling/misreading of takka?, cf. Kähler p. 116 ekakaẽtaka ‘human being’ < PAN *qaRta (Edwards 2015:97-98, Nothofer 1994:403, Mahdi 1988:58,412, Blust 1972)
OE t > ME k
ME: kak ‘person’",4
27,Man,man,fakka-manie,kak man,,,ME: kak man ‘man’,Rm_Contemporary_Enggano_Translation,"cf. above for kak
Kähler p. 190 ẽ-manĩ < PAN *ma-RuqaNay ‘male’ (Edwards 2015:94-97, Kähler 1987:190)
ME: kak man ‘man’",4
27,Man,man,fakka-manie,kak man,,,"Kähler p. 190 ẽ-manĩ < PAN *ma-RuqaNay ‘male’ (Edwards 2015:94-97, Kähler 1987:190)",Rm_Kahler,"cf. above for kak
Kähler p. 190 ẽ-manĩ < PAN *ma-RuqaNay ‘male’ (Edwards 2015:94-97, Kähler 1987:190)
ME: kak man ‘man’",4
27,Man,man,fakka-manie,kak man,,,cf. above for kak,Rm_Others,"cf. above for kak
Kähler p. 190 ẽ-manĩ < PAN *ma-RuqaNay ‘male’ (Edwards 2015:94-97, Kähler 1987:190)
ME: kak man ‘man’",4
28,Vrouw,woman,fakka-howdah,kak hiñr,,,ME: kak hiñr ‘woman’,Rm_Contemporary_Enggano_Translation,"cf. above for kak
Kähler p. 86 ehuda ‘woman, female’, etymology unclear
ME: kak hiñr ‘woman’",4
28,Vrouw,woman,fakka-howdah,kak hiñr,,,"Kähler p. 86 ehuda ‘woman, female’, etymology unclear",Rm_Kahler,"cf. above for kak
Kähler p. 86 ehuda ‘woman, female’, etymology unclear
ME: kak hiñr ‘woman’",4
28,Vrouw,woman,fakka-howdah,kak hiñr,,,cf. above for kak,Rm_Others,"cf. above for kak
Kähler p. 86 ehuda ‘woman, female’, etymology unclear
ME: kak hiñr ‘woman’",4
29,Kind,child,harah,yar,,,OE #V > #iV,Rm_Sound_Changes,"Kähler p. 4 eadaẽara ‘child, offspring’ < PAN *aNak ‘offspring’ (Edwards 2015:94-97, Nothofer 1986:100, ACD 183, Kähler 1987:4, 20), initial h- unclear
OE #V > #iV
OE r/d > r
ME: yar ‘child’",5
29,Kind,child,harah,yar,,,OE r/d > r,Rm_Sound_Changes,"Kähler p. 4 eadaẽara ‘child, offspring’ < PAN *aNak ‘offspring’ (Edwards 2015:94-97, Nothofer 1986:100, ACD 183, Kähler 1987:4, 20), initial h- unclear
OE #V > #iV
OE r/d > r
ME: yar ‘child’",5
29,Kind,child,harah,yar,,,ME: yar ‘child’,Rm_Contemporary_Enggano_Translation,"Kähler p. 4 eadaẽara ‘child, offspring’ < PAN *aNak ‘offspring’ (Edwards 2015:94-97, Nothofer 1986:100, ACD 183, Kähler 1987:4, 20), initial h- unclear
OE #V > #iV
OE r/d > r
ME: yar ‘child’",5
29,Kind,child,harah,yar,,,"Kähler p. 4 eadaẽara ‘child, offspring’ < PAN *aNak ‘offspring’ (Edwards 2015:94-97, Nothofer 1986:100, ACD 183, Kähler 1987:4, 20), initial h- unclear",Rm_Kahler,"Kähler p. 4 eadaẽara ‘child, offspring’ < PAN *aNak ‘offspring’ (Edwards 2015:94-97, Nothofer 1986:100, ACD 183, Kähler 1987:4, 20), initial h- unclear
OE #V > #iV
OE r/d > r
ME: yar ‘child’",5
30,Zoon (ongetrouwd),son (un-married),harah (manie),yar man,,,ME: yar man ‘son’,Rm_Contemporary_Enggano_Translation,"cf. above for iar
cf. ‘man’ for man
ME: yar man ‘son’",5
30,Zoon (ongetrouwd),son (un-married),harah (manie),yar man,,,cf. above for iar,Rm_Others,"cf. above for iar
cf. ‘man’ for man
ME: yar man ‘son’",5
30,Zoon (ongetrouwd),son (un-married),harah (manie),yar man,,,cf. ‘man’ for man,Rm_Others,"cf. above for iar
cf. ‘man’ for man
ME: yar man ‘son’",5
31,Zoon (gehuwd),son (married),harah-aboe-peradoe,—,,,"Kähler p. 35 ba’aradu (< dadu) ‘already married’, with eadaẽara (cf. ‘child’), leaves *abu unexplained",Rm_Kahler,"Kähler p. 35 ba’aradu (< dadu) ‘already married’, with eadaẽara (cf. ‘child’), leaves *abu unexplained",5
32,Vader,father,amah,am,,,OE V# > ME Ø,Rm_Sound_Changes,"Kähler p. 12 amã ‘father(-in-law)’ < PAN *amax ‘father’ (Edwards 2015:94-97, ACD 134, Kähler 1987:12)
OE V# > ME Ø
ME: am ‘father’",5
32,Vader,father,amah,am,,,ME: am ‘father’,Rm_Contemporary_Enggano_Translation,"Kähler p. 12 amã ‘father(-in-law)’ < PAN *amax ‘father’ (Edwards 2015:94-97, ACD 134, Kähler 1987:12)
OE V# > ME Ø
ME: am ‘father’",5
32,Vader,father,amah,am,,,"Kähler p. 12 amã ‘father(-in-law)’ < PAN *amax ‘father’ (Edwards 2015:94-97, ACD 134, Kähler 1987:12)",Rm_Kahler,"Kähler p. 12 amã ‘father(-in-law)’ < PAN *amax ‘father’ (Edwards 2015:94-97, ACD 134, Kähler 1987:12)
OE V# > ME Ø
ME: am ‘father’",5
33,Moeder,mother,ka-beah,—,,,ME: na ‘mother’,Rm_Contemporary_Enggano_Translation,"unclear, maybe related to bəha (Kähler p. 27) ‘cook’?, Boewang and vRosenberg also give /(u)kabiyu/
ME: na ‘mother’",5
33,Moeder,mother,ka-beah,—,,,"unclear, maybe related to bəha (Kähler p. 27) ‘cook’?, Boewang and vRosenberg also give /(u)kabiyu/",Rm_Others,"unclear, maybe related to bəha (Kähler p. 27) ‘cook’?, Boewang and vRosenberg also give /(u)kabiyu/
ME: na ‘mother’",5
34,Weduwe,widow,keboekoeh,(kabake),,,ME: kabake ‘widower’,Rm_Contemporary_Enggano_Translation,"Kähler p. 106 ekabake ‘corpse, dead person, bereaved one, sufferer, wrongdoer’ < PAN *ma-aCay ‘dead, die’, source of ka-unclear (Edwards 2015:94-97)
ME: kabake ‘widower’",5
34,Weduwe,widow,keboekoeh,(kabake),,,"Kähler p. 106 ekabake ‘corpse, dead person, bereaved one, sufferer, wrongdoer’ < PAN *ma-aCay ‘dead, die’, source of ka-unclear (Edwards 2015:94-97)",Rm_Kahler,"Kähler p. 106 ekabake ‘corpse, dead person, bereaved one, sufferer, wrongdoer’ < PAN *ma-aCay ‘dead, die’, source of ka-unclear (Edwards 2015:94-97)
ME: kabake ‘widower’",5
35,Weduwenaar (ongetrouwd),widower (unmarried),poelie,(purih[iė]),,,OE l/r > ME r,Rm_Sound_Changes,"Kähler p. 267 purixo ‘widower’
OE l/r > ME r
ME: purih[iė] ‘(place of) mourning’",5
35,Weduwenaar (ongetrouwd),widower (unmarried),poelie,(purih[iė]),,,ME: purih[iė] ‘(place of) mourning’,Rm_Contemporary_Enggano_Translation,"Kähler p. 267 purixo ‘widower’
OE l/r > ME r
ME: purih[iė] ‘(place of) mourning’",5
35,Weduwenaar (ongetrouwd),widower (unmarried),poelie,(purih[iė]),,,Kähler p. 267 purixo ‘widower’,Rm_Kahler,"Kähler p. 267 purixo ‘widower’
OE l/r > ME r
ME: purih[iė] ‘(place of) mourning’",5
36,Dochter,daughter,harah-howdah,yar hiñr,,,ME: yar hiñr ‘daughter’,Rm_Contemporary_Enggano_Translation,"cf. ‘child’ for iar, cf. ‘woman’ for hiñr
ME: yar hiñr ‘daughter’",5
36,Dochter,daughter,harah-howdah,yar hiñr,,,"cf. ‘child’ for iar, cf. ‘woman’ for hiñr",Rm_Others,"cf. ‘child’ for iar, cf. ‘woman’ for hiñr
ME: yar hiñr ‘daughter’",5
37,Dochter (getrouwd),daughter (married),harah-howdah aboe peradoe,—,,,"cf. ‘son (married)’, first part unclear",Rm_Others,"cf. ‘son (married)’, first part unclear",5
38,Huis,house,oebah,yub,prahoe,—,"HL: Kähler p. 279 euba < PAN *Rumaq (Edwards 2015:94-97, Kähler 1987: 279, ACD 7303, Nothofer 2021)",Rm_HL,"HL: Kähler p. 279 euba < PAN *Rumaq (Edwards 2015:94-97, Kähler 1987: 279, ACD 7303, Nothofer 2021)
LL: unclear, but cf. Kähler p. 256 e(o)põhõ̃͜i ‘house (archaic)’
OE #V > #iV
OE V# > ME Ø
ME: yub ‘house’",5
38,Huis,house,oebah,yub,prahoe,—,"LL: unclear, but cf. Kähler p. 256 e(o)põhõ̃͜i ‘house (archaic)’",Rm_LL,"HL: Kähler p. 279 euba < PAN *Rumaq (Edwards 2015:94-97, Kähler 1987: 279, ACD 7303, Nothofer 2021)
LL: unclear, but cf. Kähler p. 256 e(o)põhõ̃͜i ‘house (archaic)’
OE #V > #iV
OE V# > ME Ø
ME: yub ‘house’",5
38,Huis,house,oebah,yub,prahoe,—,OE #V > #iV,Rm_Sound_Changes,"HL: Kähler p. 279 euba < PAN *Rumaq (Edwards 2015:94-97, Kähler 1987: 279, ACD 7303, Nothofer 2021)
LL: unclear, but cf. Kähler p. 256 e(o)põhõ̃͜i ‘house (archaic)’
OE #V > #iV
OE V# > ME Ø
ME: yub ‘house’",5
38,Huis,house,oebah,yub,prahoe,—,OE V# > ME Ø,Rm_Sound_Changes,"HL: Kähler p. 279 euba < PAN *Rumaq (Edwards 2015:94-97, Kähler 1987: 279, ACD 7303, Nothofer 2021)
LL: unclear, but cf. Kähler p. 256 e(o)põhõ̃͜i ‘house (archaic)’
OE #V > #iV
OE V# > ME Ø
ME: yub ‘house’",5
38,Huis,house,oebah,yub,prahoe,—,ME: yub ‘house’,Rm_Contemporary_Enggano_Translation,"HL: Kähler p. 279 euba < PAN *Rumaq (Edwards 2015:94-97, Kähler 1987: 279, ACD 7303, Nothofer 2021)
LL: unclear, but cf. Kähler p. 256 e(o)põhõ̃͜i ‘house (archaic)’
OE #V > #iV
OE V# > ME Ø
ME: yub ‘house’",5
39,Handels-vaartuig,commercial vessel,obah koé,—,oebah ko-mai-nja,—,"HL: unclear, literally ‘house of trees’, ",Rm_HL,"HL: unclear, literally ‘house of trees’, 
ME: iub ku makes no sense 
LL: unclear, literally ‘house of ???’",6
39,Handels-vaartuig,commercial vessel,obah koé,—,oebah ko-mai-nja,—,"LL: unclear, literally ‘house of ???’",Rm_LL,"HL: unclear, literally ‘house of trees’, 
ME: iub ku makes no sense 
LL: unclear, literally ‘house of ???’",6
39,Handels-vaartuig,commercial vessel,obah koé,—,oebah ko-mai-nja,—,ME: iub ku makes no sense ,Rm_Contemporary_Enggano_Translation,"HL: unclear, literally ‘house of trees’, 
ME: iub ku makes no sense 
LL: unclear, literally ‘house of ???’",6
40,Sampan,sampan,lohah,doha,lepah-lepah (Boegineesch),—,"HL: Kähler p. 46 edoh(ə/o)ao ‘boat’, etymology unclear",Rm_HL,"HL: Kähler p. 46 edoh(ə/o)ao ‘boat’, etymology unclear
OE l > ME d
LL: lepa(-lepa) ‘traditional canoe’ in Sulawesi, Modern Buginese lofi~lopi ‘boat’?
ME: doha ‘sampan’",6
40,Sampan,sampan,lohah,doha,lepah-lepah (Boegineesch),—,"LL: lepa(-lepa) ‘traditional canoe’ in Sulawesi, Modern Buginese lofi~lopi ‘boat’?",Rm_LL,"HL: Kähler p. 46 edoh(ə/o)ao ‘boat’, etymology unclear
OE l > ME d
LL: lepa(-lepa) ‘traditional canoe’ in Sulawesi, Modern Buginese lofi~lopi ‘boat’?
ME: doha ‘sampan’",6
40,Sampan,sampan,lohah,doha,lepah-lepah (Boegineesch),—,OE l > ME d,Rm_Sound_Changes,"HL: Kähler p. 46 edoh(ə/o)ao ‘boat’, etymology unclear
OE l > ME d
LL: lepa(-lepa) ‘traditional canoe’ in Sulawesi, Modern Buginese lofi~lopi ‘boat’?
ME: doha ‘sampan’",6
40,Sampan,sampan,lohah,doha,lepah-lepah (Boegineesch),—,ME: doha ‘sampan’,Rm_Contemporary_Enggano_Translation,"HL: Kähler p. 46 edoh(ə/o)ao ‘boat’, etymology unclear
OE l > ME d
LL: lepa(-lepa) ‘traditional canoe’ in Sulawesi, Modern Buginese lofi~lopi ‘boat’?
ME: doha ‘sampan’",6
41,Ik,I,njoh ikah,(ĩė ’ + ik),oewah,u,"HL: Kähler i’iõõ’õu ‘to me’ ?< i’iō ‘to’ (Kähler p. 93) + ’ua, then ’ika ‘we’, this form makes no sense; it seems that Walland misinterpreted ika ‘we’ as ‘I’ judging from the phrases at the end of the list",Rm_HL,"HL: Kähler i’iõõ’õu ‘to me’ ?< i’iō ‘to’ (Kähler p. 93) + ’ua, then ’ika ‘we’, this form makes no sense; it seems that Walland misinterpreted ika ‘we’ as ‘I’ judging from the phrases at the end of the list
OE o > ME ė
OE V# > ME Ø
LL: Kähler p. 278 ’ua ‘I’ < PAN *aku (Edwards 2015:97-98)
OE V# > ME Ø
ME: ĩė ’ ‘me’, ik ‘we’, u ‘I’",6
41,Ik,I,njoh ikah,(ĩė ’ + ik),oewah,u,LL: Kähler p. 278 ’ua ‘I’ < PAN *aku (Edwards 2015:97-98),Rm_LL,"HL: Kähler i’iõõ’õu ‘to me’ ?< i’iō ‘to’ (Kähler p. 93) + ’ua, then ’ika ‘we’, this form makes no sense; it seems that Walland misinterpreted ika ‘we’ as ‘I’ judging from the phrases at the end of the list
OE o > ME ė
OE V# > ME Ø
LL: Kähler p. 278 ’ua ‘I’ < PAN *aku (Edwards 2015:97-98)
OE V# > ME Ø
ME: ĩė ’ ‘me’, ik ‘we’, u ‘I’",6
41,Ik,I,njoh ikah,(ĩė ’ + ik),oewah,u,OE o > ME ė,Rm_Sound_Changes,"HL: Kähler i’iõõ’õu ‘to me’ ?< i’iō ‘to’ (Kähler p. 93) + ’ua, then ’ika ‘we’, this form makes no sense; it seems that Walland misinterpreted ika ‘we’ as ‘I’ judging from the phrases at the end of the list
OE o > ME ė
OE V# > ME Ø
LL: Kähler p. 278 ’ua ‘I’ < PAN *aku (Edwards 2015:97-98)
OE V# > ME Ø
ME: ĩė ’ ‘me’, ik ‘we’, u ‘I’",6
41,Ik,I,njoh ikah,(ĩė ’ + ik),oewah,u,OE V# > ME Ø,Rm_Sound_Changes,"HL: Kähler i’iõõ’õu ‘to me’ ?< i’iō ‘to’ (Kähler p. 93) + ’ua, then ’ika ‘we’, this form makes no sense; it seems that Walland misinterpreted ika ‘we’ as ‘I’ judging from the phrases at the end of the list
OE o > ME ė
OE V# > ME Ø
LL: Kähler p. 278 ’ua ‘I’ < PAN *aku (Edwards 2015:97-98)
OE V# > ME Ø
ME: ĩė ’ ‘me’, ik ‘we’, u ‘I’",6
41,Ik,I,njoh ikah,(ĩė ’ + ik),oewah,u,OE V# > ME Ø,Rm_Sound_Changes,"HL: Kähler i’iõõ’õu ‘to me’ ?< i’iō ‘to’ (Kähler p. 93) + ’ua, then ’ika ‘we’, this form makes no sense; it seems that Walland misinterpreted ika ‘we’ as ‘I’ judging from the phrases at the end of the list
OE o > ME ė
OE V# > ME Ø
LL: Kähler p. 278 ’ua ‘I’ < PAN *aku (Edwards 2015:97-98)
OE V# > ME Ø
ME: ĩė ’ ‘me’, ik ‘we’, u ‘I’",6
41,Ik,I,njoh ikah,(ĩė ’ + ik),oewah,u,"ME: ĩė ’ ‘me’, ik ‘we’, u ‘I’",Rm_Contemporary_Enggano_Translation,"HL: Kähler i’iõõ’õu ‘to me’ ?< i’iō ‘to’ (Kähler p. 93) + ’ua, then ’ika ‘we’, this form makes no sense; it seems that Walland misinterpreted ika ‘we’ as ‘I’ judging from the phrases at the end of the list
OE o > ME ė
OE V# > ME Ø
LL: Kähler p. 278 ’ua ‘I’ < PAN *aku (Edwards 2015:97-98)
OE V# > ME Ø
ME: ĩė ’ ‘me’, ik ‘we’, u ‘I’",6
42,Gij,you,oh,ė’,,,OE o > ME ė,Rm_Sound_Changes,"Kähler p. 223 ’o’o ‘you’ < PAN *kaSu (Edwards 2015:94-97, Kähler 1987:223)
OE o > ME ė
ME: ė’ ‘you’",6
42,Gij,you,oh,ė’,,,ME: ė’ ‘you’,Rm_Contemporary_Enggano_Translation,"Kähler p. 223 ’o’o ‘you’ < PAN *kaSu (Edwards 2015:94-97, Kähler 1987:223)
OE o > ME ė
ME: ė’ ‘you’",6
42,Gij,you,oh,ė’,,,"Kähler p. 223 ’o’o ‘you’ < PAN *kaSu (Edwards 2015:94-97, Kähler 1987:223)",Rm_Kahler,"Kähler p. 223 ’o’o ‘you’ < PAN *kaSu (Edwards 2015:94-97, Kähler 1987:223)
OE o > ME ė
ME: ė’ ‘you’",6
43,Mij,me,ikah,(ik),,,OE V# > ME Ø,Rm_Sound_Changes,"perhaps misspelling of wij ‘we’, cf. Kähler p. 94 ’ika(’a) ‘we incl.’ < PAN *k-ita (Edwards 2015:94-97); ; it seems that Walland misinterpreted ika ‘we’ as ‘I’ judging from the phrases at the end of the list
OE V# > ME Ø
ME: ik ‘we’",6
43,Mij,me,ikah,(ik),,,ME: ik ‘we’,Rm_Contemporary_Enggano_Translation,"perhaps misspelling of wij ‘we’, cf. Kähler p. 94 ’ika(’a) ‘we incl.’ < PAN *k-ita (Edwards 2015:94-97); ; it seems that Walland misinterpreted ika ‘we’ as ‘I’ judging from the phrases at the end of the list
OE V# > ME Ø
ME: ik ‘we’",6
43,Mij,me,ikah,(ik),,,"perhaps misspelling of wij ‘we’, cf. Kähler p. 94 ’ika(’a) ‘we incl.’ < PAN *k-ita (Edwards 2015:94-97); ; it seems that Walland misinterpreted ika ‘we’ as ‘I’ judging from the phrases at the end of the list",Rm_Others,"perhaps misspelling of wij ‘we’, cf. Kähler p. 94 ’ika(’a) ‘we incl.’ < PAN *k-ita (Edwards 2015:94-97); ; it seems that Walland misinterpreted ika ‘we’ as ‘I’ judging from the phrases at the end of the list
OE V# > ME Ø
ME: ik ‘we’",6
44,Een (lidwoord),an (article),è,e-,,,"ME: not only used for singular, not always used on nominals (cf. grammar by Charlotte Hemmings?)",Rm_Contemporary_Enggano_Translation,"Kähler p. 50 e- ‘singular article’, etymology unclear
ME: not only used for singular, not always used on nominals (cf. grammar by Charlotte Hemmings?)",6
44,Een (lidwoord),an (article),è,e-,,,"Kähler p. 50 e- ‘singular article’, etymology unclear",Rm_Kahler,"Kähler p. 50 e- ‘singular article’, etymology unclear
ME: not only used for singular, not always used on nominals (cf. grammar by Charlotte Hemmings?)",6
45,Springen,jump,kio-ah,—,efoeah,(pu),"HL: unclear, Kähler kəkənãnã ‘jump’ (only in index?) ",Rm_HL,"HL: unclear, Kähler kəkənãnã ‘jump’ (only in index?) 
LL: Kähler p. 260 kipua ‘flee, walk away, walk’ / eapuaẽupua ‘departure, escape, walking’
OE f > ME p
ME: toba ‘jump’ (?< IN: lompat ‘jump’), pu ‘run’",6
45,Springen,jump,kio-ah,—,efoeah,(pu),"LL: Kähler p. 260 kipua ‘flee, walk away, walk’ / eapuaẽupua ‘departure, escape, walking’",Rm_LL,"HL: unclear, Kähler kəkənãnã ‘jump’ (only in index?) 
LL: Kähler p. 260 kipua ‘flee, walk away, walk’ / eapuaẽupua ‘departure, escape, walking’
OE f > ME p
ME: toba ‘jump’ (?< IN: lompat ‘jump’), pu ‘run’",6
45,Springen,jump,kio-ah,—,efoeah,(pu),OE f > ME p,Rm_Sound_Changes,"HL: unclear, Kähler kəkənãnã ‘jump’ (only in index?) 
LL: Kähler p. 260 kipua ‘flee, walk away, walk’ / eapuaẽupua ‘departure, escape, walking’
OE f > ME p
ME: toba ‘jump’ (?< IN: lompat ‘jump’), pu ‘run’",6
45,Springen,jump,kio-ah,—,efoeah,(pu),"ME: toba ‘jump’ (?< IN: lompat ‘jump’), pu ‘run’",Rm_Contemporary_Enggano_Translation,"HL: unclear, Kähler kəkənãnã ‘jump’ (only in index?) 
LL: Kähler p. 260 kipua ‘flee, walk away, walk’ / eapuaẽupua ‘departure, escape, walking’
OE f > ME p
ME: toba ‘jump’ (?< IN: lompat ‘jump’), pu ‘run’",6
46,Eten,eat,menoh,-muno,pakehnonno,pakino no,"HL: Kähler p. 206 kamũnō ‘he’s eating’ (< nõ ‘eat’), etymology unclear but cf. PMP *ñepñep ‘drink, slurp, suck’ (> Makassar ño’ño’, Bimanese nono)",Rm_HL,"HL: Kähler p. 206 kamũnō ‘he’s eating’ (< nõ ‘eat’), etymology unclear but cf. PMP *ñepñep ‘drink, slurp, suck’ (> Makassar ño’ño’, Bimanese nono)
LL: Kähler p. 147+206 pakinō nō ‘allow to eat’ (IN: ‘izinkan makan’)
ME: ?muno ‘I eat’, pakino no ‘allow me to eat’",7
